243,302258,-175,23,85,75,-370,499,77,-869,422,447,1,1,1
244,303507,-18,4,65,-39,-476,313,323,-789,-10,799,1,1,1
245,304756,52,0,47,-87,-517,81,511,-598,-430,1028,1,1,1
246,306005,97,-3,24,-104,-358,-173,602,-185,-775,960,1,1,1
247,307254,126,-2,-2,-107,-183,-393,603,210,-996,786,1,1,1
248,308503,128,6,-25,-94,23,-558,518,581,-1076,495,1,1,1
249,309752,106,16,-42,-65,248,-638,364,886,-1002,116,1,1,1
250,311001,79,18,-52,-31,436,-622,146,1058,-768,-290,1,1,1
251,312250,61,12,-59,-1,609,-514,-102,1123,-412,-711,1,1,1
252,313499,51,1,-57,17,650,-326,-339,976,13,-989,1,1,1
253,314748,46,-10,-48,25,616,-94,-520,710,426,-1136,1,1,1
254,315997,45,-19,-37,22,470,152,-620,318,772,-1090,1,1,1
255,317246,49,-30,-21,13,263,381,-622,-118,1003,-885,1,1,1
256,318495,54,-41,0,-1,35,550,-534,-515,1084,-569,1,1,1
257,319744,60,-46,21,-25,-210,637,-371,-847,1008,-161,1,1,1
258,320993,65,-38,35,-51,-410,619,-147,-1029,766,263,1,1,1
259,322242,68,-25,42,-74,-564,501,101,-1065,400,665,1,1,1
260,323491,69,-11,43,-91,-606,313,335,-919,-22,941,0,1,1
261,324740,71,-1,39,-99,-546,77,510,-623,-433,1056,0,1,1
262,325989,83,4,25,-103,-383,-179,601,-204,-780,984,0,1,1
263,327238,99,13,0,-103,-173,-403,601,230,-1004,774,0,1,1
264,328487,97,25,-23,-89,32,-563,518,595,-1081,486,0,1,1
265,329736,75,35,-37,-62,258,-639,356,897,-995,98,0,1,1
266,330985,51,34,-43,-32,467,-623,134,1090,-757,-333,0,1,1
267,332234,38,25,-47,-5,612,-513,-109,1125,-404,-721,0,1,1
268,333483,32,13,-48,12,662,-327,-341,989,14,-1003,0,0,0
269,334732,29,1,-42,21,607,-94,-520,701,426,-1127,0,0,0
270,335981,30,-10,-29,19,468,157,-624,311,781,-1092,0,0,0
271,337230,36,-26,-11,10,261,385,-625,-124,1010,-886,0,0,0
272,338479,41,-39,10,-3,26,554,-531,-528,1085,-557,0,0,0
273,339728,47,-42,29,-24,-218,639,-364,-857,1003,-146,0,0,0
274,340977,51,-35,40,-47,-428,621,-141,-1049,762,287,0,0,0
275,342226,53,-23,47,-68,-571,506,103,-1077,403,674,0,0,0
276,343475,53,-11,50,-83,-617,317,336,-934,-19,953,0,0,0
277,344724,54,0,44,-90,-558,78,515,-636,-437,1073,0,0,0
278,345973,64,9,27,-92,-399,-178,609,-221,-787,1008,0,0,0
279,347222,80,19,0,-90,-185,-403,606,218,-1009,791,0,0,0
280,348471,78,31,-22,-78,29,-562,521,591,-1083,492,0,0,0
281,349720,57,41,-36,-52,255,-640,358,895,-998,103,0,0,0
282,350969,36,41,-42,-25,465,-619,141,1084,-760,-324,0,0,0
283,352218,23,41,-41,-15,605,-498,-98,1103,-400,-703,0,0,0
284,353467,15,40,-32,-13,655,-310,-331,965,21,-986,0,0,0
285,354716,10,34,-19,-16,598,-83,-514,681,431,-1112,0,0,0
286,355965,11,24,-4,-22,459,167,-622,292,789,-1081,0,0,0
287,357214,17,8,9,-25,250,388,-632,-138,1020,-882,0,0,0
288,358463,24,-10,21,-26,15,551,-542,-536,1093,-557,0,0,0
289,359712,33,-28,27,-23,-233,630,-377,-863,1007,-144,0,0,0
290,360961,42,-43,28,-18,-443,604,-154,-1047,758,289,0,0,0
291,362210,50,-53,25,-12,-588,489,92,-1077,397,680,0,0,0
292,363459,54,-55,16,-7,-634,301,328,-935,-27,962,0,0,0
293,364708,58,-53,4,-1,-575,66,513,-641,-447,1088,0,0,0
294,365957,67,-48,-11,1,-418,-184,614,-234,-798,1032,0,0,0
295,367206,81,-40,-29,-2,-200,-406,618,206,-1024,818,0,0,0
296,368455,78,-23,-42,-3,17,-559,536,576,-1095,519,0,0,0
297,369704,56,0,-46,0,248,-629,374,877,-1003,126,0,0,0
298,370953,34,17,-44,0,460,-605,151,1065,-756,-309,0,0,0
299,372202,20,30,-38,-3,601,-488,-94,1089,-394,-695,0,0,0
300,373451,11,34,-29,-8,647,-303,-331,950,28,-978,0,0,0
301,374700,6,34,-17,-15,588,-72,-514,660,442,-1102,0,0,0
302,375949,7,29,-5,-23,444,177,-623,267,800,-1067,0,0,0
303,377198,11,18,6,-28,234,399,-630,-165,1029,-864,0,0,0
304,378447,17,3,18,-31,-2,563,-538,-565,1101,-536,0,0,0
305,379696,25,-10,27,-33,-251,640,-371,-891,1011,-120,0,0,0
306,380945,33,-23,30,-32,-461,613,-147,-1074,760,314,0,0,0
307,382194,39,-32,29,-27,-606,494,99,-1100,395,705,0,0,0
308,383443,43,-36,23,-22,-651,305,336,-956,-31,987,0,0,0
309,384692,46,-35,13,-16,-591,70,520,-661,-450,1111,0,0,0
310,385941,55,-34,0,-13,-433,-184,621,-249,-805,1054,0,0,0
311,387190,68,-29,-16,-15,-215,-407,624,192,-1031,839,0,0,0
312,388439,66,-15,-29,-13,4,-562,539,566,-1101,535,0,0,0
313,389688,45,3,-33,-7,237,-631,375,868,-1006,138,0,0,0
314,390937,25,19,-32,-4,450,-606,150,1056,-756,-300,0,0,0
315,392186,13,30,-29,-6,590,-489,-95,1079,-394,-685,0,0,0
316,393435,6,34,-23,-9,636,-302,-331,938,29,-967,0,0,0
317,394684,2,34,-13,-15,578,-69,-516,647,447,-1094,0,0,0
318,395933,3,30,-3,-21,433,182,-625,251,807,-1058,0,0,0
319,397182,8,20,5,-26,222,404,-630,-182,1034,-852,0,0,0
320,398431,13,7,16,-29,-16,569,-538,-585,1107,-522,0,0,0
321,399680,21,-4,23,-32,-264,645,-370,-909,1015,-106,0,0,0
322,400929,28,-15,26,-31,-474,617,-144,-1091,761,330,0,0,0
323,402178,34,-24,26,-27,-619,497,103,-1116,394,722,0,0,0
324,403427,38,-28,22,-24,-662,307,340,-969,-33,1002,0,0,0
325,404676,40,-28,14,-18,-601,71,525,-672,-454,1126,0,0,0
326,405925,47,-29,4,-14,-443,-184,626,-259,-810,1069,0,0,0
327,407174,60,-26,-10,-15,-224,-407,628,183,-1035,852,0,0,0
328,408423,58,-14,-21,-13,-5,-563,542,558,-1105,547,0,0,0
329,409672,38,1,-24,-7,230,-633,377,863,-1010,147,0,0,0
330,410921,20,16,-24,-3,442,-607,151,1049,-758,-291,0,0,0
331,412170,9,27,-23,-4,584,-489,-94,1073,-395,-678,0,0,0
332,413419,3,31,-19,-7,630,-301,-331,931,30,-961,0,0,0
333,414668,0,32,-11,-12,575,-68,-517,643,449,-1092,0,0,0
334,415917,0,30,-3,-19,429,184,-626,245,810,-1055,0,0,0
335,417166,5,22,4,-24,219,406,-631,-187,1037,-850,0,0,0
336,418415,11,10,13,-27,-22,571,-540,-593,1111,-518,0,0,0
337,419664,19,0,20,-30,-270,647,-371,-917,1018,-101,0,0,0
338,420913,25,-10,23,-30,-480,618,-144,-1098,762,336,0,0,0
339,422162,31,-19,24,-27,-622,498,104,-1120,394,726,0,0,0
340,423411,34,-24,21,-23,-665,307,342,-972,-35,1007,0,0,0
341,424660,36,-25,15,-18,-603,70,526,-673,-456,1129,0,0,0
342,425909,42,-26,6,-14,-447,-184,628,-263,-812,1075,0,0,0
343,427158,54,-24,-7,-14,-228,-408,629,180,-1037,857,0,0,0
344,428407,52,-14,-17,-12,-9,-565,543,556,-1108,552,0,0,0
345,429656,33,1,-20,-5,228,-635,378,863,-1013,150,0,0,0
346,430905,16,15,-21,-1,442,-609,151,1051,-760,-291,0,0,0
347,432154,6,25,-21,-2,585,-491,-95,1076,-396,-680,0,0,0
348,433403,0,29,-17,-4,631,-302,-332,933,30,-963,0,0,0
349,434652,-2,31,-11,-9,576,-69,-518,645,449,-1094,0,0,0
350,435901,0,29,-4,-16,432,183,-627,249,810,-1059,0,0,0
351,437150,4,22,2,-21,221,407,-633,-186,1040,-854,0,0,0
352,438399,10,11,11,-25,-22,571,-541,-593,1112,-519,0,0,0
353,439648,16,1,18,-29,-270,647,-372,-917,1019,-102,0,0,0
354,440897,23,-8,22,-29,-479,618,-145,-1097,763,334,0,0,0
355,442146,28,-17,23,-27,-621,497,103,-1118,394,724,0,0,0
356,443395,31,-22,21,-23,-663,306,341,-969,-35,1004,0,0,0
357,444644,34,-24,16,-18,-600,70,526,-670,-456,1126,0,0,0
358,445893,38,-25,7,-13,-445,-184,628,-261,-812,1073,0,0,0
359,447142,49,-23,-4,-13,-225,-409,629,184,-1038,854,0,0,0
360,448391,47,-14,-15,-9,-6,-567,542,561,-1109,548,0,0,0
361,449640,29,0,-18,-2,232,-638,377,870,-1015,145,0,0,0
362,450889,13,13,-19,0,446,-610,150,1056,-760,-296,0,0,0
363,452138,4,24,-20,0,590,-494,-97,1084,-397,-687,0,0,0
364,453387,0,28,-17,-2,636,-304,-333,940,29,-969,0,0,0
365,454636,-3,30,-11,-7,582,-70,-521,652,451,-1103,0,0,0
366,455885,-1,29,-5,-13,438,182,-630,256,812,-1068,0,0,0
367,457134,3,22,1,-19,226,406,-635,-180,1041,-861,0,0,0
368,458383,9,12,9,-23,-17,570,-543,-587,1113,-526,0,0,0
